id,Bar,Street,City,State,Phone,License,Close,Open
1,"TACO BAR","Ap #669-1563 Velit. Ave","San Antonio","New Hampshire",184-137-9394,417478-9703,20:00:00,03:00:00
2,"ASPEN HILL BAR & GRILL","5530 Habitant St.",Clarksville,Tennessee,803-182-2749,122581-2526,22:00:00,02:00:00
3,"Il Fornaio","497-2846 Metus Rd.",Fairbanks,"New York",697-987-7592,698268-4422,19:00:00,08:00:00
4,"Blue Angel","226-6371 Malesuada Rd.",Honolulu,Hawaii,622-163-5121,802054-2166,17:00:00,05:00:00
5,"Seven Bamboo","Ap #391-9394 Eleifend Street","Idaho Falls",Idaho,681-819-0612,759258-8235,21:00:00,02:00:00
6,"PINEY BRANCH PUB","6093 Non, Avenue",Bloomington,Minnesota,944-585-0955,574707-0877,21:00:00,03:00:00
7,"Le Syndicat","Ap #715-5065 Quis Rd.","Idaho Falls",Idaho,311-987-9458,555889-1650,20:00:00,03:00:00
8,"Blue Tattoo","Ap #400-1183 Semper Road",College,"New York",693-853-1563,768883-3750,18:00:00,01:00:00
9,"The B-Hive","Ap #406-5343 Vestibulum Road",Kearney,Nebraska,546-953-4978,159927-7181,22:00:00,01:00:00
10,"MAMMA LUCIA","192-5925 Sed St.",Gaithersburg,Maryland,728-221-9189,825954-1152,17:00:00,04:00:00
11,"BROOKVILLE EATERY","311-5806 Orci, Rd.",Augusta,Georgia,631-249-4383,405616-0742,19:00:00,03:00:00
12,"Le Mary Céleste","P.O. Box 298, 5458 Nunc Rd.",Huntsville,Alabama,401-640-6068,498082-1021,22:00:00,03:00:00
13,"THE BARKING DOG","Ap #260-6899 Libero Road",Duluth,"South Carolina",211-233-8237,953633-2746,20:00:00,04:00:00
14,"SENOR TEQUILA'S","1131 Duis St.","Pike Creek",Delaware,571-283-3428,744864-1998,19:00:00,09:00:00
15,"GOLF ULTRA LOUNGE","5331 Ac Rd.",Denver,Colorado,825-288-7882,008054-3713,21:00:00,04:00:00
16,"FOREST GLEN PUB","Ap #515-9261 Imperdiet Rd.",Eugene,Oregon,346-530-6380,724454-6920,20:00:00,04:00:00
17,"The Backbeat","Ap #926-9542 Pharetra, St.",Pittsburgh,Pennsylvania,813-409-1171,845635-3971,18:00:00,01:00:00
18,BECLAWS,"8543 Vestibulum Road",Rochester,Minnesota,149-233-0604,269500-5799,18:00:00,04:00:00
19,"The Blank Club","Ap #793-6476 Iaculis, Rd.",Stamford,"North Carolina",383-473-3842,307264-2642,18:00:00,02:00:00
20,"GRAPE AND GRAIN BOUTIQUE","P.O. Box 135, 4739 In, St.",Springfield,Massachusetts,350-396-6759,557483-4338,21:00:00,05:00:00
21,"The Shark and Rose","2009 Pharetra. Av.",Columbia,Maryland,950-823-3532,385233-3057,20:00:00,01:00:00
22,"J N K BEER & WINE","P.O. Box 594, 9946 Aliquet, St.","Little Rock","North Carolina",418-985-4872,368909-3791,22:00:00,04:00:00
23,"KWIK BAR & GRILL","8306 Euismod Rd.",Madison,Wisconsin,215-338-8128,343655-3428,21:00:00,03:00:00
24,"PIZZERIA DAMARCO","Ap #887-9971 Pede St.",Tacoma,Washington,352-173-8321,443927-4046,19:00:00,03:00:00
25,"Britannia Arms","P.O. Box 964, 2623 Tempor Avenue",Georgia,Georgia,662-143-3414,033266-5462,20:00:00,04:00:00
26,"BOCA BOTANA'S","866-4193 Quisque Road","West Jordan",Utah,680-158-1074,633641-0946,19:00:00,05:00:00
27,"PARTY TIME LOUNGE","P.O. Box 246, 4799 Montes, Street",Houston,"New Hampshire",465-627-5066,513075-0960,18:00:00,05:00:00
28,SAMOVAR,"Ap #767-2558 Eu, Road",Nashville,Tennessee,119-295-5062,569005-3193,17:00:00,02:00:00
29,"KOREAN KORNER","293-4640 Amet, Av.",Provo,Utah,916-460-9128,252115-9828,18:00:00,01:00:00
30,"FINNEGAN'S WAKE IRISH PUB","P.O. Box 885, 8111 Velit. Av.","Virginia Beach",Virginia,777-763-3436,267320-6500,18:00:00,03:00:00
31,"RUSSIAN GOURMET","424-1298 Risus. Street",Cambridge,Massachusetts,962-862-6932,635427-3838,21:00:00,03:00:00
32,"EL PAISANO","2739 In, Rd.",Baltimore,Maryland,563-111-0171,269448-6792,20:00:00,05:00:00
33,"BARKING MAD CAFE","9075 Tristique Road",Bozeman,Montana,797-243-1219,173337-7970,22:00:00,01:00:00
34,"MELLOW MUSHROOM","703-638 Hendrerit Road",Stamford,"North Carolina",532-728-6001,826547-8266,19:00:00,04:00:00
35,"WORLD OF BEER","Ap #663-9471 Fringilla St.",Madison,Wisconsin,327-590-6744,749156-9476,17:00:00,01:00:00
36,"PASSION FISH","Ap #606-7277 Netus Road",Fresno,California,488-921-7456,994587-9188,18:00:00,02:00:00
37,VACE,"6586 Odio. Street",Lansing,Michigan,308-250-4410,798423-6294,22:00:00,03:00:00
