BillID,License
1,417478-9703
2,417478-9703
3,417478-9703
4,417478-9703
5,417478-9703
6,417478-9703
7,417478-9703
8,417478-9703
9,417478-9703
10,417478-9703
11,417478-9703
12,417478-9703
13,417478-9703
14,417478-9703
15,417478-9703
16,417478-9703
17,417478-9703
18,417478-9703
19,417478-9703
20,417478-9703
21,417478-9703
22,417478-9703
23,417478-9703
24,417478-9703
25,417478-9703
26,417478-9703
27,417478-9703
28,417478-9703
29,417478-9703
30,417478-9703
31,417478-9703
32,417478-9703
33,417478-9703
34,417478-9703
35,417478-9703
36,417478-9703
37,417478-9703
38,417478-9703
39,417478-9703
40,417478-9703
41,417478-9703
42,417478-9703
43,417478-9703
44,417478-9703
45,417478-9703
46,417478-9703
47,417478-9703
48,417478-9703
49,417478-9703
50,417478-9703
51,417478-9703
52,417478-9703
53,417478-9703
54,417478-9703
55,417478-9703
56,417478-9703
57,417478-9703
58,417478-9703
59,417478-9703
60,417478-9703
61,417478-9703
62,417478-9703
63,417478-9703
64,417478-9703
65,417478-9703
66,417478-9703
67,417478-9703
68,417478-9703
69,417478-9703
70,417478-9703
71,417478-9703
72,417478-9703
73,417478-9703
74,417478-9703
75,417478-9703
76,417478-9703
77,417478-9703
78,417478-9703
79,417478-9703
80,417478-9703
81,417478-9703
82,417478-9703
83,417478-9703
84,417478-9703
85,417478-9703
86,417478-9703
87,417478-9703
88,417478-9703
89,417478-9703
90,417478-9703
91,417478-9703
92,417478-9703
93,417478-9703
94,417478-9703
95,122581-2526
96,122581-2526
97,122581-2526
98,122581-2526
99,122581-2526
100,122581-2526
101,122581-2526
102,122581-2526
103,122581-2526
104,122581-2526
105,122581-2526
106,122581-2526
107,122581-2526
108,122581-2526
109,122581-2526
110,122581-2526
111,122581-2526
112,122581-2526
113,122581-2526
114,122581-2526
115,122581-2526
116,122581-2526
117,122581-2526
118,122581-2526
119,122581-2526
120,122581-2526
121,122581-2526
122,122581-2526
123,122581-2526
124,122581-2526
125,122581-2526
126,122581-2526
127,122581-2526
128,122581-2526
129,122581-2526
130,122581-2526
131,122581-2526
132,122581-2526
133,122581-2526
134,122581-2526
135,122581-2526
136,122581-2526
137,122581-2526
138,122581-2526
139,122581-2526
140,122581-2526
141,122581-2526
142,122581-2526
143,122581-2526
144,122581-2526
145,122581-2526
146,122581-2526
147,122581-2526
148,122581-2526
149,122581-2526
150,122581-2526
151,122581-2526
152,122581-2526
153,122581-2526
154,122581-2526
155,122581-2526
156,122581-2526
157,122581-2526
158,122581-2526
159,122581-2526
160,122581-2526
161,122581-2526
162,122581-2526
163,122581-2526
164,122581-2526
165,122581-2526
166,122581-2526
167,122581-2526
168,122581-2526
169,122581-2526
170,122581-2526
171,122581-2526
172,122581-2526
173,122581-2526
174,122581-2526
175,122581-2526
176,122581-2526
177,122581-2526
178,122581-2526
179,122581-2526
