ItemID,Bar,License,Item,Price
1,"A.P. Stump's",MA12347,Monster,644.39
2,"A.P. Stump's",MA12347,"French Toast",484.39
3,"A.P. Stump's",MA12347,Wings,44.39
4,"A.P. Stump's",MA12347,"Miller Lite",234.39
5,"A.P. Stump's",MA12347,Pancakes,494.39
6,"A.P. Stump's",MA12347,Budweiser,244.39
7,"A.P. Stump's",MA12347,"Strawberry Cheesecake",464.39
8,"A.P. Stump's",MA12347,"Lamb Chops",544.39
9,"A.P. Stump's",MA12347,"Corona Extra",224.39
10,"A.P. Stump's",MA12347,"Diet Pepsi",594.39
11,"A.P. Stump's",MA12347,Guinness,394.39
12,"ADDISU GEBEYA",659375-5835,"Busch Light",185.11
13,"ADDISU GEBEYA",659375-5835,"Yuengling Lager",315.11
14,"ADDISU GEBEYA",659375-5835,"Fried Pickles",415.11
15,"ADDISU GEBEYA",659375-5835,"Stella Artois",135.11
16,"ADDISU GEBEYA",659375-5835,"Bud Ice",125.11
17,"ADDISU GEBEYA",659375-5835,"Bud Light",265.11
18,"ADDISU GEBEYA",659375-5835,"Miller High Life",145.11
19,"ADDISU GEBEYA",659375-5835,Tsingtao,295.11
20,"ADDISU GEBEYA",659375-5835,"Corona Light",375.11
21,"ADDISU GEBEYA",659375-5835,Snow,275.11
22,"ADDISU GEBEYA",659375-5835,"Strawberry Cheesecake",465.11
23,"AJI-NIPPON RESTAURANT",102739-1075,"Fried Pickles",415.03
24,"AJI-NIPPON RESTAURANT",102739-1075,"Mello Yello",625.03
25,"AJI-NIPPON RESTAURANT",102739-1075,Tsingtao,295.03
26,"AJI-NIPPON RESTAURANT",102739-1075,Monster,645.03
27,"AJI-NIPPON RESTAURANT",102739-1075,Fanta,615.03
28,"AJI-NIPPON RESTAURANT",102739-1075,"Extra Yanjing",285.03
29,"AJI-NIPPON RESTAURANT",102739-1075,"Mountain Dew",575.03
30,"AJI-NIPPON RESTAURANT",102739-1075,"Natural Ice",105.03
31,"AJI-NIPPON RESTAURANT",102739-1075,"Diet Dr Pepper",605.03
32,"AJI-NIPPON RESTAURANT",102739-1075,"7 Up",635.03
33,"AJI-NIPPON RESTAURANT",102739-1075,"Pabst Blue Ribbon",115.03
34,"ALL SET",604478-1638,"Iresh Breakfast",510.21
35,"ALL SET",604478-1638,"Chicken Pot Pie",470.21
36,"ALL SET",604478-1638,"Fried Pickles",410.21
37,"ALL SET",604478-1638,"Natural Light",190.21
38,"ALL SET",604478-1638,"Corona Extra",220.21
39,"ALL SET",604478-1638,Prosscco,680.21
40,"ALL SET",604478-1638,"Corona Light",370.21
41,"ALL SET",604478-1638,Snow,270.21
42,"ALL SET",604478-1638,Tsingtao,290.21
43,"ALL SET",604478-1638,Wings,40.21
44,"AMALFI RISTORANTE",128083-8887,"Miller High Life",146.3
45,"AMALFI RISTORANTE",128083-8887,"Busch Light",186.3
46,"AMALFI RISTORANTE",128083-8887,"Miller Lite",236.3
47,"AMALFI RISTORANTE",128083-8887,"Mountain Dew",576.3
48,"AMALFI RISTORANTE",128083-8887,"Natural Ice",106.3
49,"AMALFI RISTORANTE",128083-8887,"Coors Banquet",346.3
50,"AMALFI RISTORANTE",128083-8887,"Diet Dr Pepper",606.3
51,"AMALFI RISTORANTE",128083-8887,"Dos Equis",336.3
52,"AMALFI RISTORANTE",128083-8887,"Cheesecake eggrolls",456.3
53,Anderdog,426308-0014,"Pabst Blue Ribbon",115.48
54,Anderdog,426308-0014,Bakers,725.48
55,Anderdog,426308-0014,"Mello Yello",625.48
56,Anderdog,426308-0014,"Mozzarella sticks",55.48
57,Anderdog,426308-0014,"Diet Dr Pepper",605.48
58,Anderdog,426308-0014,"Busch Light",185.48
59,Anderdog,426308-0014,"Chicken Buger",445.48
60,Anderdog,426308-0014,Fanta,615.48
61,Anderdog,426308-0014,"Mil’s Best Ice",385.48
62,Anderdog,426308-0014,Tsingtao,295.48
63,Anderdog,426308-0014,Pancakes,495.48
64,"ARIA BAR & GRILL",705071-9785,Fanta,613.21
65,"ARIA BAR & GRILL",705071-9785,Prosscco,683.21
66,"ARIA BAR & GRILL",705071-9785,Omelet,523.21
