TransactionID,License,BillID,ItemID
1,417478-9703,1,2249
2,417478-9703,1,2244
3,417478-9703,1,2240
4,417478-9703,1,2242
5,417478-9703,2,2241
6,417478-9703,2,2249
7,417478-9703,3,2241
8,417478-9703,3,2244
9,417478-9703,3,2239
10,417478-9703,3,2239
11,417478-9703,3,2241
12,417478-9703,4,2246
13,417478-9703,4,2244
14,417478-9703,5,2238
15,417478-9703,5,2242
16,417478-9703,5,2238
17,417478-9703,5,2245
18,417478-9703,6,2244
19,417478-9703,6,2242
20,417478-9703,6,2242
21,417478-9703,6,2239
22,417478-9703,6,2239
23,417478-9703,7,2239
24,417478-9703,7,2245
25,417478-9703,7,2241
26,417478-9703,7,2246
27,417478-9703,7,2241
28,417478-9703,8,2240
29,417478-9703,8,2240
30,417478-9703,8,2241
31,417478-9703,8,2239
32,417478-9703,8,2238
33,417478-9703,9,2249
34,417478-9703,9,2242
35,417478-9703,9,2244
36,417478-9703,9,2244
37,417478-9703,9,2242
38,417478-9703,10,2246
39,417478-9703,10,2240
40,417478-9703,10,2238
41,417478-9703,10,2240
42,417478-9703,10,2243
43,417478-9703,11,2248
44,417478-9703,11,2246
45,417478-9703,12,2240
46,417478-9703,12,2248
47,417478-9703,12,2248
48,417478-9703,12,2239
49,417478-9703,13,2245
50,417478-9703,13,2240
51,417478-9703,13,2242
52,417478-9703,13,2238
53,417478-9703,14,2238
54,417478-9703,14,2247
55,417478-9703,14,2240
56,417478-9703,15,2242
57,417478-9703,15,2246
58,417478-9703,16,2241
59,417478-9703,16,2249
60,417478-9703,17,2245
61,417478-9703,17,2243
62,417478-9703,17,2238
63,417478-9703,17,2243
64,417478-9703,18,2244
65,417478-9703,18,2243
66,417478-9703,18,2243
67,417478-9703,18,2239
68,417478-9703,18,2244
69,417478-9703,19,2249
70,417478-9703,19,2247
71,417478-9703,19,2246
72,417478-9703,19,2242
73,417478-9703,19,2239
74,417478-9703,20,2242
75,417478-9703,20,2247
76,417478-9703,21,2241
77,417478-9703,21,2241
78,417478-9703,21,2240
79,417478-9703,22,2238
80,417478-9703,22,2242
81,417478-9703,22,2243
82,417478-9703,22,2248
83,417478-9703,22,2239
84,417478-9703,23,2241
85,417478-9703,23,2241
86,417478-9703,23,2242
87,417478-9703,24,2246
88,417478-9703,24,2242
89,417478-9703,25,2249
90,417478-9703,25,2247
91,417478-9703,25,2246
92,417478-9703,26,2246
93,417478-9703,26,2242
94,417478-9703,26,2239
95,417478-9703,27,2239
96,417478-9703,27,2243
