id,region,city,Price,country_id,region_id
23,"AJI-NIPPON RESTAURANT","Fried Pickles",415.03,1,175
24,"AJI-NIPPON RESTAURANT","Mello Yello",625.03,1,175
25,"AJI-NIPPON RESTAURANT",Tsingtao,295.03,1,175
26,"AJI-NIPPON RESTAURANT",Monster,645.03,1,175
27,"AJI-NIPPON RESTAURANT",Fanta,615.03,1,175
28,"AJI-NIPPON RESTAURANT","Extra Yanjing",285.03,1,175
29,"AJI-NIPPON RESTAURANT","Mountain Dew",575.03,1,175
30,"AJI-NIPPON RESTAURANT","Natural Ice",105.03,1,175
31,"AJI-NIPPON RESTAURANT","Diet Dr Pepper",605.03,1,175
32,"AJI-NIPPON RESTAURANT","7 Up",635.03,1,175
33,"AJI-NIPPON RESTAURANT","Pabst Blue Ribbon",115.03,1,175
1332,"Le Mary Céleste",Sprite,584.81,1,12
1333,"Le Mary Céleste","Miller Lite",234.81,1,12
1334,"Le Mary Céleste","Pastrami Hash",534.81,1,12
1335,"Le Mary Céleste","Mountain Dew",574.81,1,12
1336,"Le Mary Céleste","Yuengling Lager",314.81,1,12
1337,"Le Mary Céleste",Budweiser,244.81,1,12
1338,"Le Mary Céleste","Cheese Buger",434.81,1,12
1339,"Le Mary Céleste",Tsingtao,294.81,1,12
1340,"Le Mary Céleste","Pabst Blue Ribbon",114.81,1,12
1341,"Le Mary Céleste",Busch,174.81,1,12
1342,"Le Mary Céleste","Busch Light",184.81,1,12
1890,"Podozritelnye Litsa Bar",Rose,661.17,1,102
1891,"Podozritelnye Litsa Bar",Fanta,611.17,1,102
1892,"Podozritelnye Litsa Bar","Onion rings",21.17,1,102
1893,"Podozritelnye Litsa Bar","Lamb Chops",541.17,1,102
1894,"Podozritelnye Litsa Bar","Bud Ice",121.17,1,102
1895,"Podozritelnye Litsa Bar","Dos Equis",331.17,1,102
1896,"Podozritelnye Litsa Bar",PEARLRIVER,301.17,1,102
1897,"Podozritelnye Litsa Bar","Farro Salad",81.17,1,102
1898,"Podozritelnye Litsa Bar","Bud Light",261.17,1,102
1899,"Podozritelnye Litsa Bar","Purple Rain",741.17,1,102
1900,"Podozritelnye Litsa Bar","Chicken Buger",441.17,1,102
1901,"Podozritelnye Litsa Bar",Sprite,581.17,1,102
2173,"SOL AZTECA RESTAURANT",Pepsi-Cola,576.2,1,107
2174,"SOL AZTECA RESTAURANT","Corpse Reviver 212",716.2,1,107
2175,"SOL AZTECA RESTAURANT","French Toast",496.2,1,107
2176,"SOL AZTECA RESTAURANT","Chicken Pot Pie",486.2,1,107
2177,"SOL AZTECA RESTAURANT",Budweiser,256.2,1,107
2178,"SOL AZTECA RESTAURANT","Miller Lite",246.2,1,107
2179,"SOL AZTECA RESTAURANT","French fries",26.2,1,107
2180,"SOL AZTECA RESTAURANT",Tsingtao,306.2,1,107
2181,"SOL AZTECA RESTAURANT","Farro Salad",96.2,1,107
2182,"SOL AZTECA RESTAURANT","Natural Light",206.2,1,107
2525,"THE GREENE TURTLE-Ab",Nachos,30.15,1,172
2526,"THE GREENE TURTLE-Ab","Diet Dr Pepper",600.15,1,172
2527,"THE GREENE TURTLE-Ab","Mozzarella sticks",50.15,1,172
2528,"THE GREENE TURTLE-Ab",Omelet,520.15,1,172
2529,"THE GREENE TURTLE-Ab",Icehouse,360.15,1,172
2530,"THE GREENE TURTLE-Ab","Extra Yanjing",280.15,1,172
2531,"THE GREENE TURTLE-Ab","French fries",10.15,1,172
2532,"THE GREENE TURTLE-Ab","Iresh Breakfast",510.15,1,172
2533,"THE GREENE TURTLE-Ab","Dos Equis",330.15,1,172
2534,"THE GREENE TURTLE-Ab",Monster,640.15,1,172
2535,"THE GREENE TURTLE-Ab","Pabst Blue Ribbon",110.15,1,172
2536,"THE GREENE TURTLE-Ab","Onion rings",20.15,1,172
874,Eulipia,"Miller Lite",233.91,2,220
875,Eulipia,"Iresh Breakfast",513.91,2,220
876,Eulipia,"Lamb Chops",543.91,2,220
877,Eulipia,Fanta,613.91,2,220
878,Eulipia,"Bud Ice",123.91,2,220
879,Eulipia,PEARLRIVER,303.91,2,220
880,Eulipia,"Extra Yanjing",283.91,2,220
881,Eulipia,"Pastrami Hash",533.91,2,220
882,Eulipia,Monster,643.91,2,220
883,Eulipia,"Farro Salad",83.91,2,220
1796,"PERUVIAN COUNTRY CHICKEN & BEER","French fries",18.05,2,189
1797,"PERUVIAN COUNTRY CHICKEN & BEER","Natural Ice",108.05,2,189
1798,"PERUVIAN COUNTRY CHICKEN & BEER",Heineken,168.05,2,189
1799,"PERUVIAN COUNTRY CHICKEN & BEER","Purple Rain",748.05,2,189
1800,"PERUVIAN COUNTRY CHICKEN & BEER","Coors Light",258.05,2,189
1801,"PERUVIAN COUNTRY CHICKEN & BEER","Coors Banquet",348.05,2,189
1802,"PERUVIAN COUNTRY CHICKEN & BEER","Diet Dr Pepper",608.05,2,189
1803,"PERUVIAN COUNTRY CHICKEN & BEER","7 Up",638.05,2,189
1804,"PERUVIAN COUNTRY CHICKEN & BEER","Extra Yanjing",288.05,2,189
1805,"PERUVIAN COUNTRY CHICKEN & BEER",Wings,48.05,2,189
2140,SHANGRI'LA,Busch,213.35,2,202
2141,SHANGRI'LA,"Dos Equis",373.35,2,202
2142,SHANGRI'LA,"Cheese Buger",473.35,2,202
2143,SHANGRI'LA,Snow,313.35,2,202
2144,SHANGRI'LA,Pancakes,533.35,2,202
