ItemID,Bar,License,Item,Price,State
2238,"TACO BAR",417478-9703,"Cheese Buger",454.85,"New Hampshire"
2239,"TACO BAR",417478-9703,PEARLRIVER,324.85,"New Hampshire"
2240,"TACO BAR",417478-9703,"Dos Equis",354.85,"New Hampshire"
2241,"TACO BAR",417478-9703,Rose,684.85,"New Hampshire"
2242,"TACO BAR",417478-9703,"Onion rings",44.85,"New Hampshire"
2243,"TACO BAR",417478-9703,"French Toast",504.85,"New Hampshire"
2244,"TACO BAR",417478-9703,"Coors Light",274.85,"New Hampshire"
2245,"TACO BAR",417478-9703,"Miller Lite",254.85,"New Hampshire"
2246,"TACO BAR",417478-9703,Tsingtao,314.85,"New Hampshire"
2247,"TACO BAR",417478-9703,"Corona Extra",244.85,"New Hampshire"
2248,"TACO BAR",417478-9703,"Yuengling Lager",334.85,"New Hampshire"
2249,"TACO BAR",417478-9703,"Strawberry Cheesecake",484.85,"New Hampshire"
97,"ASPEN HILL BAR & GRILL",122581-2526,"Stella Artois",132.98,Tennessee
98,"ASPEN HILL BAR & GRILL",122581-2526,"Artichoke dip",72.98,Tennessee
99,"ASPEN HILL BAR & GRILL",122581-2526,"7 Up",632.98,Tennessee
100,"ASPEN HILL BAR & GRILL",122581-2526,Bakers,722.98,Tennessee
101,"ASPEN HILL BAR & GRILL",122581-2526,"Bud Ice",122.98,Tennessee
102,"ASPEN HILL BAR & GRILL",122581-2526,"Bud Light",262.98,Tennessee
103,"ASPEN HILL BAR & GRILL",122581-2526,"Purple Rain",742.98,Tennessee
104,"ASPEN HILL BAR & GRILL",122581-2526,Wings,42.98,Tennessee
105,"ASPEN HILL BAR & GRILL",122581-2526,"Mozzarella sticks",52.98,Tennessee
106,"ASPEN HILL BAR & GRILL",122581-2526,"Coca Cola",552.98,Tennessee
107,"ASPEN HILL BAR & GRILL",122581-2526,White,672.98,Tennessee
1082,"Il Fornaio",698268-4422,"Chicken Pot Pie",473.81,"New York"
1083,"Il Fornaio",698268-4422,Icehouse,363.81,"New York"
1084,"Il Fornaio",698268-4422,"Coors Light",253.81,"New York"
1085,"Il Fornaio",698268-4422,"Busch Light",183.81,"New York"
1086,"Il Fornaio",698268-4422,Nachos,33.81,"New York"
1087,"Il Fornaio",698268-4422,"French fries",13.81,"New York"
1088,"Il Fornaio",698268-4422,Heineken,163.81,"New York"
1089,"Il Fornaio",698268-4422,"Chicken Buger",443.81,"New York"
1090,"Il Fornaio",698268-4422,"Keystone Light",153.81,"New York"
1091,"Il Fornaio",698268-4422,Busch,173.81,"New York"
1092,"Il Fornaio",698268-4422,"Coca Cola",553.81,"New York"
1093,"Il Fornaio",698268-4422,"Lamb Chops",543.81,"New York"
1094,"Il Fornaio",698268-4422,"Tater Tots",403.81,"New York"
384,"Blue Angel",802054-2166,Nachos,36.29,Hawaii
385,"Blue Angel",802054-2166,"Diet Dr Pepper",606.29,Hawaii
386,"Blue Angel",802054-2166,"Busch Light",186.29,Hawaii
387,"Blue Angel",802054-2166,"Fish & Chip",426.29,Hawaii
388,"Blue Angel",802054-2166,PEARLRIVER,306.29,Hawaii
389,"Blue Angel",802054-2166,"Mountain Dew",576.29,Hawaii
390,"Blue Angel",802054-2166,"Blue Moon",326.29,Hawaii
391,"Blue Angel",802054-2166,"Chicken Buger",446.29,Hawaii
392,"Blue Angel",802054-2166,White,676.29,Hawaii
393,"Blue Angel",802054-2166,"Fried Pickles",416.29,Hawaii
394,"Blue Angel",802054-2166,"Natural Ice",106.29,Hawaii
2106,"Seven Bamboo",759258-8235,"Onion rings",63.35,Idaho
2107,"Seven Bamboo",759258-8235,"Mountain Dew",613.35,Idaho
2108,"Seven Bamboo",759258-8235,"Tater Tots",443.35,Idaho
2109,"Seven Bamboo",759258-8235,Rose,703.35,Idaho
2110,"Seven Bamboo",759258-8235,"Diet Pepsi",633.35,Idaho
2111,"Seven Bamboo",759258-8235,"Strawberry Cheesecake",503.35,Idaho
2112,"Seven Bamboo",759258-8235,Heineken,203.35,Idaho
2113,"Seven Bamboo",759258-8235,"Blue Moon",363.35,Idaho
2114,"Seven Bamboo",759258-8235,"Diet Dr Pepper",643.35,Idaho
2115,"Seven Bamboo",759258-8235,"Mello Yello",663.35,Idaho
2116,"Seven Bamboo",759258-8235,"Mozzarella sticks",93.35,Idaho
2117,"Seven Bamboo",759258-8235,"Keystone Light",193.35,Idaho
1854,"PINEY BRANCH PUB",574707-0877,"Farro Salad",84.54,Minnesota
1855,"PINEY BRANCH PUB",574707-0877,Prosscco,684.54,Minnesota
1856,"PINEY BRANCH PUB",574707-0877,Monster,644.54,Minnesota
1857,"PINEY BRANCH PUB",574707-0877,"Cheesecake eggrolls",454.54,Minnesota
