id,region,city,Price,region_id,country_id
23,AJI-NIPPON RESTAURANT,Fried Pickles,415.03,36,1
24,AJI-NIPPON RESTAURANT,Mello Yello,625.03,36,1
25,AJI-NIPPON RESTAURANT,Tsingtao,295.03,36,1
26,AJI-NIPPON RESTAURANT,Monster,645.03,36,1
27,AJI-NIPPON RESTAURANT,Fanta,615.03,36,1
28,AJI-NIPPON RESTAURANT,Extra Yanjing,285.03,36,1
29,AJI-NIPPON RESTAURANT,Mountain Dew,575.03,36,1
30,AJI-NIPPON RESTAURANT,Natural Ice,105.03,36,1
31,AJI-NIPPON RESTAURANT,Diet Dr Pepper,605.03,36,1
32,AJI-NIPPON RESTAURANT,7 Up,635.03,36,1
33,AJI-NIPPON RESTAURANT,Pabst Blue Ribbon,115.03,36,1
1890,Podozritelnye Litsa Bar,Rose,661.17,81,1
1891,Podozritelnye Litsa Bar,Fanta,611.17,81,1
1892,Podozritelnye Litsa Bar,Onion rings,21.17,81,1
1893,Podozritelnye Litsa Bar,Lamb Chops,541.17,81,1
1894,Podozritelnye Litsa Bar,Bud Ice,121.17,81,1
1895,Podozritelnye Litsa Bar,Dos Equis,331.17,81,1
1896,Podozritelnye Litsa Bar,PEARLRIVER,301.17,81,1
1897,Podozritelnye Litsa Bar,Farro Salad,81.17,81,1
1898,Podozritelnye Litsa Bar,Bud Light,261.17,81,1
1899,Podozritelnye Litsa Bar,Purple Rain,741.17,81,1
1900,Podozritelnye Litsa Bar,Chicken Buger,441.17,81,1
1901,Podozritelnye Litsa Bar,Sprite,581.17,81,1
1332,Le Mary Céleste,Sprite,584.81,128,1
1333,Le Mary Céleste,Miller Lite,234.81,128,1
1334,Le Mary Céleste,Pastrami Hash,534.81,128,1
1335,Le Mary Céleste,Mountain Dew,574.81,128,1
1336,Le Mary Céleste,Yuengling Lager,314.81,128,1
1337,Le Mary Céleste,Budweiser,244.81,128,1
1338,Le Mary Céleste,Cheese Buger,434.81,128,1
1339,Le Mary Céleste,Tsingtao,294.81,128,1
1340,Le Mary Céleste,Pabst Blue Ribbon,114.81,128,1
1341,Le Mary Céleste,Busch,174.81,128,1
1342,Le Mary Céleste,Busch Light,184.81,128,1
2525,THE GREENE TURTLE-Ab,Nachos,30.15,209,1
2526,THE GREENE TURTLE-Ab,Diet Dr Pepper,600.15,209,1
2527,THE GREENE TURTLE-Ab,Mozzarella sticks,50.15,209,1
2528,THE GREENE TURTLE-Ab,Omelet,520.15,209,1
2529,THE GREENE TURTLE-Ab,Icehouse,360.15,209,1
2530,THE GREENE TURTLE-Ab,Extra Yanjing,280.15,209,1
2531,THE GREENE TURTLE-Ab,French fries,10.15,209,1
2532,THE GREENE TURTLE-Ab,Iresh Breakfast,510.15,209,1
2533,THE GREENE TURTLE-Ab,Dos Equis,330.15,209,1
2534,THE GREENE TURTLE-Ab,Monster,640.15,209,1
2535,THE GREENE TURTLE-Ab,Pabst Blue Ribbon,110.15,209,1
2536,THE GREENE TURTLE-Ab,Onion rings,20.15,209,1
2173,SOL AZTECA RESTAURANT,Pepsi-Cola,576.2,223,1
2174,SOL AZTECA RESTAURANT,Corpse Reviver 212,716.2,223,1
2175,SOL AZTECA RESTAURANT,French Toast,496.2,223,1
2176,SOL AZTECA RESTAURANT,Chicken Pot Pie,486.2,223,1
2177,SOL AZTECA RESTAURANT,Budweiser,256.2,223,1
2178,SOL AZTECA RESTAURANT,Miller Lite,246.2,223,1
2179,SOL AZTECA RESTAURANT,French fries,26.2,223,1
2180,SOL AZTECA RESTAURANT,Tsingtao,306.2,223,1
2181,SOL AZTECA RESTAURANT,Farro Salad,96.2,223,1
2182,SOL AZTECA RESTAURANT,Natural Light,206.2,223,1
2140,SHANGRI'LA,Busch,213.35,103,2
2141,SHANGRI'LA,Dos Equis,373.35,103,2
2142,SHANGRI'LA,Cheese Buger,473.35,103,2
2143,SHANGRI'LA,Snow,313.35,103,2
2144,SHANGRI'LA,Pancakes,533.35,103,2
2145,SHANGRI'LA,Lamb Chops,583.35,103,2
2146,SHANGRI'LA,White,713.35,103,2
2147,SHANGRI'LA,Steel Reserve,393.35,103,2
2148,SHANGRI'LA,Coors Light,293.35,103,2
2149,SHANGRI'LA,Pepsi-Cola,603.35,103,2
2150,SHANGRI'LA,Sprite,623.35,103,2
1796,PERUVIAN COUNTRY CHICKEN & BEER,French fries,18.05,117,2
1797,PERUVIAN COUNTRY CHICKEN & BEER,Natural Ice,108.05,117,2
1798,PERUVIAN COUNTRY CHICKEN & BEER,Heineken,168.05,117,2
1799,PERUVIAN COUNTRY CHICKEN & BEER,Purple Rain,748.05,117,2
1800,PERUVIAN COUNTRY CHICKEN & BEER,Coors Light,258.05,117,2
1801,PERUVIAN COUNTRY CHICKEN & BEER,Coors Banquet,348.05,117,2
1802,PERUVIAN COUNTRY CHICKEN & BEER,Diet Dr Pepper,608.05,117,2
1803,PERUVIAN COUNTRY CHICKEN & BEER,7 Up,638.05,117,2
1804,PERUVIAN COUNTRY CHICKEN & BEER,Extra Yanjing,288.05,117,2
1805,PERUVIAN COUNTRY CHICKEN & BEER,Wings,48.05,117,2
874,Eulipia,Miller Lite,233.91,220,2
